,Регион,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Ненецкий автономный округ,3913588.7,3913588.7,3913588.7,3913588.7,3913588.7,3913588.7,3913588.7,3913588.7,3913588.7,3913588.7,3913588.7,3913588.7,3913588.7,3913588.7,3913588.7,3913588.7,3685897.1,4035943.2,4329031.1,5210143.9,5964557.0,6045235.6,7296374.4,7530484.7,5206287.1
21,Архангельская область,232540.7,232540.7,232540.7,232540.7,232540.7,232540.7,232540.7,232540.7,232540.7,232540.7,232540.7,232540.7,232540.7,232540.7,232540.7,232540.7,270662.9,283264.5,310817.4,352837.9,400764.6,441961.6,493205.1,509917.0,514200.4
22,Вологодская область,14189.5,14862.7,18080.3,34471.0,53432.8,50934.4,63433.6,85259.1,129015.6,156379.7,164130.2,199003.0,242347.7,176179.2,217826.8,269252.8,296726.1,289782.8,324790.3,402652.1,430041.5,459777.5,525206.6,541318.7,544379.2
23,Калининградская область,7704.7,8229.3,8783.5,16270.4,24308.8,33797.4,42019.6,49167.4,70426.0,87122.8,110255.4,153964.0,191533.4,180797.2,208193.2,255217.8,279096.9,287695.4,325131.0,359639.7,425021.5,450993.6,494096.4,515933.0,530036.9
24,Ленинградская область,10039.7,10569.5,12708.0,23516.4,33265.1,45248.2,56738.1,72578.7,99230.0,122024.2,157122.1,182657.9,226011.0,252890.9,286435.4,336981.3,385686.5,386177.6,397419.3,478065.2,534152.5,556083.1,626840.0,657679.7,661328.6
25,Мурманская область,15833.2,18427.8,23233.5,43012.3,59157.8,62965.4,76236.9,91442.1,144469.3,156652.5,190124.3,233765.5,263755.5,251956.9,292926.1,333511.6,361968.4,395213.7,427090.7,525475.7,614565.5,634409.5,693988.6,828365.9,1072337.1
26,Новгородская область,9561.0,10009.0,12860.3,21772.7,29347.0,38975.3,45178.5,55387.3,72549.3,95286.2,113246.4,132334.8,177472.4,183196.9,200248.6,243031.9,271750.9,286501.8,337279.4,379255.5,412072.9,420289.0,429668.2,457123.3,471333.3
27,Псковская область,6963.5,7575.5,7616.8,13947.2,20544.7,25031.4,31547.3,39190.7,48358.5,55772.9,72029.1,87456.7,105449.0,108797.9,128685.1,150199.9,161916.7,174006.5,189383.8,208464.5,247111.3,259414.7,285469.3,313959.2,325659.6
28,Город Санкт-Петербург,13066.7,14800.0,18024.9,28247.0,39811.1,53525.3,72059.8,87919.3,116030.9,141795.6,174432.8,235410.3,299436.0,306454.8,349253.6,424643.7,456943.4,490440.5,515556.9,650339.7,780400.7,805573.1,891448.8,950587.3,971158.0
29,Республика Адыгея,5207.4,5814.9,6907.7,10061.7,12315.1,14858.6,17707.5,22091.7,28133.2,38514.5,48050.2,66366.2,82378.2,94436.5,107297.5,128749.3,147262.9,159096.3,168880.1,187211.1,223469.4,241997.3,264198.0,288147.8,309184.1
30,Республика Калмыкия,3911.5,4752.6,4899.8,7104.1,20183.7,22261.8,24676.8,22394.9,29105.7,33017.9,43797.2,58925.2,71450.7,82586.8,84359.4,101873.2,125773.9,145420.8,165949.9,185798.9,249989.8,289676.6,314225.2,327149.3,344933.1
31,Республика Крым,100526.4,100526.4,100526.4,100526.4,100526.4,100526.4,100526.4,100526.4,100526.4,100526.4,100526.4,100526.4,100526.4,100526.4,100526.4,100526.4,100526.4,100526.4,100526.4,139873.3,189916.6,201251.2,228692.9,245411.7,270363.8
32,Краснодарский край,8455.9,8538.6,10063.7,19267.7,26713.9,34912.4,42477.6,48572.8,61291.7,72794.1,94244.0,125700.4,155103.6,165555.1,196914.3,236750.6,274995.7,309837.7,328771.2,352601.2,407239.7,433626.9,444364.1,453882.0,460720.2
33,Астраханская область,7643.9,8559.6,10172.2,15805.2,27815.3,32037.2,40786.8,50386.3,56357.5,69814.0,84950.0,99999.4,146391.0,133018.5,143388.8,170504.7,206677.1,269821.7,290822.2,315996.9,361704.8,434701.5,570206.4,596388.2,526950.9
34,Волгоградская область,9799.8,10447.4,11000.6,16181.9,23340.8,30513.2,38617.7,47934.1,57928.0,76740.6,95683.4,126313.1,159001.5,144303.4,166028.8,195463.7,220755.1,235814.1,279101.4,290186.0,324961.1,336306.7,369000.4,384677.3,394256.5
35,Ростовская область,6609.4,7493.3,8455.0,14380.4,20003.8,26817.8,31941.7,39180.4,50678.6,60575.0,78642.0,104603.1,134137.4,129626.0,154127.9,179470.3,198129.2,215923.2,237465.8,280522.0,324802.1,341163.4,367627.9,389933.4,403949.1
36,Город Севастополь,78009.3,78009.3,78009.3,78009.3,78009.3,78009.3,78009.3,78009.3,78009.3,78009.3,78009.3,78009.3,78009.3,78009.3,78009.3,78009.3,78009.3,78009.3,78009.3,119384.5,211366.0,234060.8,276550.7,306891.7,295304.9
37,Республика Дагестан,2722.1,3888.4,3589.4,5383.3,8489.7,12562.3,16195.5,22168.7,30629.6,33839.8,45741.7,56812.6,77033.8,90542.5,94883.6,113034.2,127528.7,153260.9,177395.3,189575.2,203906.4,209477.8,219856.8,231886.3,239640.7
38,Республика Ингушетия,2405.1,3317.1,3428.9,5098.0,6667.9,8000.7,7751.7,10332.4,14024.9,17435.1,21922.4,41340.7,47002.3,46174.4,48239.2,63569.7,85737.9,102241.5,113224.9,106955.7,121985.9,125667.9,136930.7,145723.1,142199.7
