,Регион,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
70,Кемеровская область,2426,2487,2419,2333,2288,2314,2156,2106,1960,1985,1910,1863
71,Новосибирская область,2387,2034,1846,1775,1675,1917,1626,1596,1716,1806,1943,1672
72,Омская область,1691,1513,1540,1473,1471,1559,1488,1443,1365,1261,1242,1208
73,Томская область,2697,2114,2146,1918,1911,2141,1894,1741,1655,1637,1612,1558
74,Республика Бурятия,2694,2453,2389,2415,2499,2825,2386,2399,2389,2249,2097,2110
75,Забайкальский край,2687,2825,2900,3244,2980,3093,2749,2502,2256,2185,2104,2012
76,Республика Саха (Якутия),1784,1568,1260,1124,1113,1230,1285,1288,1240,1287,1261,1351
77,Камчатский край,1730,1695,1693,1621,1582,1819,1861,1949,1899,1836,1870,1877
78,Приморский край,2648,2373,2499,2728,2540,2465,2037,1904,1707,1616,1681,1825
79,Хабаровский край,2424,2062,1990,2135,2220,2321,2026,1802,1688,1796,1702,1649
80,Амурская область,2306,2256,2233,2109,2152,2429,2327,2308,2187,2433,2298,2274
81,Магаданская область,2443,2212,2222,2396,2116,2273,2051,1904,2027,1982,1820,1760
82,Сахалинская область,2228,2057,2097,2532,2362,2313,2513,2349,2051,1944,1844,1821
83,Еврейская автономная область,2447,2265,2309,1947,2110,2207,2085,2200,2231,2165,2249,2024
84,Чукотский автономный округ,1644,1461,1684,1594,1295,1634,1606,1429,1501,1556,1578,1574
