,Город,Регион,Год,Численность
0,Абаза,Республика Хакасия,1959,11600
1,Абаза,Республика Хакасия,1970,15200
2,Абаза,Республика Хакасия,1979,15800
3,Абаза,Республика Хакасия,1989,17600
4,Абаза,Республика Хакасия,1992,18000
5,Абаза,Республика Хакасия,1996,18500
6,Абаза,Республика Хакасия,2000,18700
7,Абаза,Республика Хакасия,2001,18700
8,Абаза,Республика Хакасия,2003,18100
9,Абаза,Республика Хакасия,2005,17500
10,Абаза,Республика Хакасия,2006,17300
11,Абаза,Республика Хакасия,2007,17300
12,Абаза,Республика Хакасия,2010,16900
13,Абаза,Республика Хакасия,2011,17100
14,Абаза,Республика Хакасия,2012,16700
15,Абаза,Республика Хакасия,2013,16500
16,Абаза,Республика Хакасия,2014,16200
17,Абаза,Республика Хакасия,2015,16000
18,Абаза,Республика Хакасия,2017,15600
19,Абаза,Республика Хакасия,2018,15300
20,Абаза,Республика Хакасия,2019,15100
21,Абаза,Республика Хакасия,2020,15000
22,Абаза,Республика Хакасия,2021,14800
23,Абакан,Республика Хакасия,1931,7700
24,Абакан,Республика Хакасия,1939,36700
25,Абакан,Республика Хакасия,1959,56400
26,Абакан,Республика Хакасия,1962,63000
27,Абакан,Республика Хакасия,1967,78000
28,Абакан,Республика Хакасия,1970,90100
29,Абакан,Республика Хакасия,1973,107000
30,Абакан,Республика Хакасия,1976,118000
31,Абакан,Республика Хакасия,1982,140000
32,Абакан,Республика Хакасия,1986,148000
33,Абакан,Республика Хакасия,1989,154100
34,Абакан,Республика Хакасия,1992,158200
35,Абакан,Республика Хакасия,1996,163100
36,Абакан,Республика Хакасия,1998,167600
37,Абакан,Республика Хакасия,2000,169200
38,Абакан,Республика Хакасия,2001,169000
39,Абакан,Республика Хакасия,2005,164700
40,Абакан,Республика Хакасия,2006,164000
41,Абакан,Республика Хакасия,2007,163100
42,Абакан,Республика Хакасия,2008,163200
43,Абакан,Республика Хакасия,2010,163600
44,Абакан,Республика Хакасия,2011,165200
45,Абакан,Республика Хакасия,2012,167600
46,Абакан,Республика Хакасия,2013,169800
47,Абакан,Республика Хакасия,2015,176200
48,Абакан,Республика Хакасия,2016,179200
49,Абакан,Республика Хакасия,2017,181700
50,Абакан,Республика Хакасия,2018,184200
51,Абакан,Республика Хакасия,2019,186200
52,Абакан,Республика Хакасия,2020,186800
53,Абакан,Республика Хакасия,2021,187200
54,Абдулино,Оренбургская область,1931,15100
55,Абдулино,Оренбургская область,1939,24300
56,Абдулино,Оренбургская область,1959,30000
57,Абдулино,Оренбургская область,1967,26000
58,Абдулино,Оренбургская область,1970,26000
59,Абдулино,Оренбургская область,1979,23100
60,Абдулино,Оренбургская область,1989,22600
61,Абдулино,Оренбургская область,1992,23000
62,Абдулино,Оренбургская область,1996,23600
63,Абдулино,Оренбургская область,1998,23900
64,Абдулино,Оренбургская область,2000,24100
65,Абдулино,Оренбургская область,2001,24000
66,Абдулино,Оренбургская область,2003,21500
67,Абдулино,Оренбургская область,2005,21500
68,Абдулино,Оренбургская область,2007,21200
69,Абдулино,Оренбургская область,2008,20900
70,Абдулино,Оренбургская область,2010,20700
71,Абдулино,Оренбургская область,2011,20200
72,Абдулино,Оренбургская область,2012,19900
73,Абдулино,Оренбургская область,2013,19700
74,Абдулино,Оренбургская область,2014,19500
75,Абдулино,Оренбургская область,2016,19300
76,Абдулино,Оренбургская область,2017,19200
77,Абдулино,Оренбургская область,2018,19000
78,Абдулино,Оренбургская область,2019,18800
79,Абдулино,Оренбургская область,2020,18600
80,Абдулино,Оренбургская область,2021,18400
81,Абинск,Краснодарский край,1939,14400
82,Абинск,Краснодарский край,1959,14800
83,Абинск,Краснодарский край,1967,22000
84,Абинск,Краснодарский край,1970,21200
85,Абинск,Краснодарский край,1979,25300
86,Абинск,Краснодарский край,1989,29200
87,Абинск,Краснодарский край,1996,34100
88,Абинск,Краснодарский край,1998,34500
89,Абинск,Краснодарский край,2000,34900
90,Абинск,Краснодарский край,2001,35000
91,Абинск,Краснодарский край,2003,33700
92,Абинск,Краснодарский край,2005,33800
93,Абинск,Краснодарский край,2007,33800
94,Абинск,Краснодарский край,2008,34200
95,Абинск,Краснодарский край,2010,34500
96,Абинск,Краснодарский край,2011,34900
97,Абинск,Краснодарский край,2012,35400
98,Абинск,Краснодарский край,2013,35900
99,Абинск,Краснодарский край,2015,37000
100,Абинск,Краснодарский край,2016,37400
101,Абинск,Краснодарский край,2017,37700
102,Абинск,Краснодарский край,2018,38200
103,Абинск,Краснодарский край,2019,38500
104,Абинск,Краснодарский край,2020,39100
105,Агидель,Республика Башкортостан,1989,16100
106,Агидель,Республика Башкортостан,1996,19600
107,Агидель,Республика Башкортостан,1998,20000
108,Агидель,Республика Башкортостан,2000,19800
109,Агидель,Республика Башкортостан,2001,19800
110,Агидель,Республика Башкортостан,2005,18900
111,Агидель,Республика Башкортостан,2006,18900
112,Агидель,Республика Башкортостан,2007,18900
113,Агидель,Республика Башкортостан,2008,19000
114,Агидель,Республика Башкортостан,2010,19200
115,Агидель,Республика Башкортостан,2012,16100
116,Агидель,Республика Башкортостан,2013,15900
117,Агидель,Республика Башкортостан,2014,15900
118,Агидель,Республика Башкортостан,2015,15700
119,Агидель,Республика Башкортостан,2016,15600
120,Агидель,Республика Башкортостан,2018,15000
121,Агидель,Республика Башкортостан,2019,14600
122,Агидель,Республика Башкортостан,2020,14200
123,Агидель,Республика Башкортостан,2021,13900
124,Агрыз,Республика Татарстан,1931,5300
125,Агрыз,Республика Татарстан,1939,15400
126,Агрыз,Республика Татарстан,1959,20300
127,Агрыз,Республика Татарстан,1967,20000
128,Агрыз,Республика Татарстан,1970,19300
129,Агрыз,Республика Татарстан,1979,20100
130,Агрыз,Республика Татарстан,1989,19700
131,Агрыз,Республика Татарстан,1996,19400
132,Агрыз,Республика Татарстан,1998,19800
133,Агрыз,Республика Татарстан,2000,19200
134,Агрыз,Республика Татарстан,2001,19200
135,Агрыз,Республика Татарстан,2003,18600
136,Агрыз,Республика Татарстан,2005,18600
137,Агрыз,Республика Татарстан,2006,18600
138,Агрыз,Республика Татарстан,2008,18900
139,Агрыз,Республика Татарстан,2010,19200
140,Агрыз,Республика Татарстан,2011,19300
141,Агрыз,Республика Татарстан,2012,19600
142,Агрыз,Республика Татарстан,2013,19700
143,Агрыз,Республика Татарстан,2014,19800
144,Агрыз,Республика Татарстан,2015,19700
145,Агрыз,Республика Татарстан,2017,19700
146,Агрыз,Республика Татарстан,2018,19800
147,Агрыз,Республика Татарстан,2019,19800
148,Агрыз,Республика Татарстан,2020,19700
149,Агрыз,Республика Татарстан,2021,19700
150,Адыгейск,Республика Адыгея,1979,9700
151,Адыгейск,Республика Адыгея,1989,12500
152,Адыгейск,Республика Адыгея,1992,12600
153,Адыгейск,Республика Адыгея,1998,12600
154,Адыгейск,Республика Адыгея,2000,12400
155,Адыгейск,Республика Адыгея,2003,12200
156,Адыгейск,Республика Адыгея,2005,12200
157,Адыгейск,Республика Адыгея,2006,12200
158,Адыгейск,Республика Адыгея,2007,12300
159,Адыгейск,Республика Адыгея,2008,12300
160,Адыгейск,Республика Адыгея,2011,12200
161,Адыгейск,Республика Адыгея,2012,12400
162,Адыгейск,Республика Адыгея,2013,12400
163,Адыгейск,Республика Адыгея,2014,12500
164,Адыгейск,Республика Адыгея,2015,12700
165,Адыгейск,Республика Адыгея,2017,12700
166,Адыгейск,Республика Адыгея,2018,12700
167,Адыгейск,Республика Адыгея,2019,12700
168,Адыгейск,Республика Адыгея,2020,12700
169,Адыгейск,Республика Адыгея,2021,12900
170,Азнакаево,Республика Татарстан,1939,2700
171,Азнакаево,Республика Татарстан,1959,11700
172,Азнакаево,Республика Татарстан,1970,21900
173,Азнакаево,Республика Татарстан,1979,26700
174,Азнакаево,Республика Татарстан,1989,32200
175,Азнакаево,Республика Татарстан,1992,34300
176,Азнакаево,Республика Татарстан,1998,36700
177,Азнакаево,Республика Татарстан,2000,37000
178,Азнакаево,Республика Татарстан,2001,37200
179,Азнакаево,Республика Татарстан,2003,35400
180,Азнакаево,Республика Татарстан,2005,35000
181,Азнакаево,Республика Татарстан,2006,34800
182,Азнакаево,Республика Татарстан,2008,34500
183,Азнакаево,Республика Татарстан,2010,34400
184,Азнакаево,Республика Татарстан,2011,34900
185,Азнакаево,Республика Татарстан,2012,34600
186,Азнакаево,Республика Татарстан,2013,34600
187,Азнакаево,Республика Татарстан,2014,34700
188,Азнакаево,Республика Татарстан,2016,34700
189,Азнакаево,Республика Татарстан,2017,34900
190,Азнакаево,Республика Татарстан,2018,34900
191,Азнакаево,Республика Татарстан,2019,34600
192,Азнакаево,Республика Татарстан,2020,34200
193,Азнакаево,Республика Татарстан,2021,33700
194,Азов,Ростовская область,1856,5300
195,Азов,Ростовская область,1897,27500
196,Азов,Ростовская область,1931,19800
197,Азов,Ростовская область,1939,25000
198,Азов,Ростовская область,1959,39900
199,Азов,Ростовская область,1967,56000
200,Азов,Ростовская область,1970,59300
201,Азов,Ростовская область,1973,66000
202,Азов,Ростовская область,1979,75100
203,Азов,Ростовская область,1982,77000
204,Азов,Ростовская область,1986,80000
205,Азов,Ростовская область,1989,80300
206,Азов,Ростовская область,1992,80900
207,Азов,Ростовская область,1996,80700
208,Азов,Ростовская область,1998,81000
209,Азов,Ростовская область,2000,81300
210,Азов,Ростовская область,2003,82100
211,Азов,Ростовская область,2005,82600
212,Азов,Ростовская область,2006,82600
213,Азов,Ростовская область,2007,82800
214,Азов,Ростовская область,2008,83100
215,Азов,Ростовская область,2010,83000
216,Азов,Ростовская область,2011,82900
217,Азов,Ростовская область,2012,82900
218,Азов,Ростовская область,2014,82500
219,Азов,Ростовская область,2015,82000
220,Азов,Ростовская область,2016,81900
221,Азов,Ростовская область,2017,81300
222,Азов,Ростовская область,2018,80700
223,Азов,Ростовская область,2019,80300
224,Азов,Ростовская область,2020,80400
225,Азов,Ростовская область,2021,79900
226,Ак-Довурак,Республика Тыва,1959,2200
227,Ак-Довурак,Республика Тыва,1970,9600
228,Ак-Довурак,Республика Тыва,1979,13200
229,Ак-Довурак,Республика Тыва,1989,15200
230,Ак-Довурак,Республика Тыва,1992,15000
231,Ак-Довурак,Республика Тыва,1996,13700
232,Ак-Довурак,Республика Тыва,2000,13400
233,Ак-Довурак,Республика Тыва,2001,13400
234,Ак-Довурак,Республика Тыва,2003,13000
235,Ак-Довурак,Республика Тыва,2005,13400
236,Ак-Довурак,Республика Тыва,2006,13600
237,Ак-Довурак,Республика Тыва,2007,13800
238,Ак-Довурак,Республика Тыва,2010,14500
239,Ак-Довурак,Республика Тыва,2011,13500
240,Ак-Довурак,Республика Тыва,2012,13600
241,Ак-Довурак,Республика Тыва,2013,13500
242,Ак-Довурак,Республика Тыва,2014,13600
243,Ак-Довурак,Республика Тыва,2015,13700
244,Ак-Довурак,Республика Тыва,2017,13600
245,Ак-Довурак,Республика Тыва,2018,13600
246,Ак-Довурак,Республика Тыва,2019,13600
247,Ак-Довурак,Республика Тыва,2020,13600
248,Ак-Довурак,Республика Тыва,2021,13800
249,Аксай,Ростовская область,1897,7600
250,Аксай,Ростовская область,1939,9800
251,Аксай,Ростовская область,1959,15500
252,Аксай,Ростовская область,1967,20000
253,Аксай,Ростовская область,1970,22000
254,Аксай,Ростовская область,1979,30000
255,Аксай,Ростовская область,1989,33400
256,Аксай,Ростовская область,1996,35700
257,Аксай,Ростовская область,1998,35700
258,Аксай,Ростовская область,2000,35100
259,Аксай,Ростовская область,2001,34700
260,Аксай,Ростовская область,2003,38000
261,Аксай,Ростовская область,2005,37200
262,Аксай,Ростовская область,2006,36900
263,Аксай,Ростовская область,2008,36200
264,Аксай,Ростовская область,2010,36100
265,Аксай,Ростовская область,2011,42000
266,Аксай,Ростовская область,2012,42500
267,Аксай,Ростовская область,2013,42700
268,Аксай,Ростовская область,2014,43200
269,Аксай,Ростовская область,2015,43600
270,Аксай,Ростовская область,2017,44800
271,Аксай,Ростовская область,2018,45100
272,Аксай,Ростовская область,2019,45200
273,Аксай,Ростовская область,2020,46000
274,Аксай,Ростовская область,2021,46600
275,Алагир,Республика Северная Осетия-Алания,1939,12600
276,Алагир,Республика Северная Осетия-Алания,1959,15200
277,Алагир,Республика Северная Осетия-Алания,1970,18200
278,Алагир,Республика Северная Осетия-Алания,1979,19000
279,Алагир,Республика Северная Осетия-Алания,1989,21100
280,Алагир,Республика Северная Осетия-Алания,1992,23200
281,Алагир,Республика Северная Осетия-Алания,1998,23700
282,Алагир,Республика Северная Осетия-Алания,2000,23100
283,Алагир,Республика Северная Осетия-Алания,2001,22700
284,Алагир,Республика Северная Осетия-Алания,2003,21500
285,Алагир,Республика Северная Осетия-Алания,2005,20500
286,Алагир,Республика Северная Осетия-Алания,2006,20300
287,Алагир,Республика Северная Осетия-Алания,2008,19700
288,Алагир,Республика Северная Осетия-Алания,2010,19400
289,Алагир,Республика Северная Осетия-Алания,2011,20900
290,Алагир,Республика Северная Осетия-Алания,2012,20700
291,Алагир,Республика Северная Осетия-Алания,2013,20600
292,Алагир,Республика Северная Осетия-Алания,2014,20400
293,Алагир,Республика Северная Осетия-Алания,2016,20200
294,Алагир,Республика Северная Осетия-Алания,2017,20100
295,Алагир,Республика Северная Осетия-Алания,2018,20000
296,Алагир,Республика Северная Осетия-Алания,2019,20000
297,Алагир,Республика Северная Осетия-Алания,2020,19700
298,Алагир,Республика Северная Осетия-Алания,2021,19700
299,Алапаевск,Свердловская область,1856,5100
300,Алапаевск,Свердловская область,1897,8600
301,Алапаевск,Свердловская область,1931,22400
302,Алапаевск,Свердловская область,1939,25000
303,Алапаевск,Свердловская область,1959,47100
304,Алапаевск,Свердловская область,1962,50000
305,Алапаевск,Свердловская область,1967,49000
306,Алапаевск,Свердловская область,1970,52100
307,Алапаевск,Свердловская область,1976,52000
308,Алапаевск,Свердловская область,1979,49800
309,Алапаевск,Свердловская область,1986,51000
310,Алапаевск,Свердловская область,1989,50100
311,Алапаевск,Свердловская область,1992,50200
312,Алапаевск,Свердловская область,1996,48900
313,Алапаевск,Свердловская область,1998,48200
314,Алапаевск,Свердловская область,2000,47600
315,Алапаевск,Свердловская область,2003,44300
316,Алапаевск,Свердловская область,2005,43300
317,Алапаевск,Свердловская область,2006,42900
318,Алапаевск,Свердловская область,2007,42700
319,Алапаевск,Свердловская область,2008,42500
320,Алапаевск,Свердловская область,2010,41800
321,Алапаевск,Свердловская область,2011,38200
322,Алапаевск,Свердловская область,2012,38100
323,Алапаевск,Свердловская область,2014,37900
324,Алапаевск,Свердловская область,2015,37900
325,Алапаевск,Свердловская область,2016,37700
326,Алапаевск,Свердловская область,2017,37700
327,Алапаевск,Свердловская область,2018,37500
328,Алапаевск,Свердловская область,2019,37200
329,Алапаевск,Свердловская область,2020,37100
330,Алапаевск,Свердловская область,2021,37000
331,Алатырь,Чувашская Республика,1856,7700
332,Алатырь,Чувашская Республика,1897,12200
333,Алатырь,Чувашская Республика,1931,22700
334,Алатырь,Чувашская Республика,1939,29800
335,Алатырь,Чувашская Республика,1959,40100
336,Алатырь,Чувашская Республика,1967,43000
337,Алатырь,Чувашская Республика,1970,43500
338,Алатырь,Чувашская Республика,1989,46600
339,Алатырь,Чувашская Республика,1992,47700
340,Алатырь,Чувашская Республика,1996,47200
341,Алатырь,Чувашская Республика,1998,47100
342,Алатырь,Чувашская Республика,2000,46500
343,Алатырь,Чувашская Республика,2001,46200
344,Алатырь,Чувашская Республика,2003,43200
345,Алатырь,Чувашская Республика,2006,42400
346,Алатырь,Чувашская Республика,2007,42300
347,Алатырь,Чувашская Республика,2008,42200
348,Алатырь,Чувашская Республика,2010,41600
349,Алатырь,Чувашская Республика,2011,38200
350,Алатырь,Чувашская Республика,2012,37500
351,Алатырь,Чувашская Республика,2013,37000
352,Алатырь,Чувашская Республика,2015,36100
353,Алатырь,Чувашская Республика,2016,35600
354,Алатырь,Чувашская Республика,2017,35300
355,Алатырь,Чувашская Республика,2018,34800
356,Алатырь,Чувашская Республика,2019,34200
357,Алатырь,Чувашская Республика,2020,33800
358,Алатырь,Чувашская Республика,2021,33000
359,Алдан,Республика Саха Якутия,1939,14000
360,Алдан,Республика Саха Якутия,1959,12400
361,Алдан,Республика Саха Якутия,1967,15000
362,Алдан,Республика Саха Якутия,1970,17700
363,Алдан,Республика Саха Якутия,1979,20200
364,Алдан,Республика Саха Якутия,1989,27100
365,Алдан,Республика Саха Якутия,1996,24000
366,Алдан,Республика Саха Якутия,1998,22900
367,Алдан,Республика Саха Якутия,2000,21500
368,Алдан,Республика Саха Якутия,2001,21200
369,Алдан,Республика Саха Якутия,2003,24700
370,Алдан,Республика Саха Якутия,2005,24300
371,Алдан,Республика Саха Якутия,2007,23900
372,Алдан,Республика Саха Якутия,2008,23800
373,Алдан,Республика Саха Якутия,2010,23400
374,Алдан,Республика Саха Якутия,2011,21300
375,Алдан,Республика Саха Якутия,2012,21700
376,Алдан,Республика Саха Якутия,2013,21500
377,Алдан,Республика Саха Якутия,2015,21100
378,Алдан,Республика Саха Якутия,2016,20900
379,Алдан,Республика Саха Якутия,2017,20700
380,Алдан,Республика Саха Якутия,2018,20600
381,Алдан,Республика Саха Якутия,2019,20000
382,Алдан,Республика Саха Якутия,2020,20600
383,Алейск,Алтайский край,1939,20300
384,Алейск,Алтайский край,1959,29000
385,Алейск,Алтайский край,1967,31000
386,Алейск,Алтайский край,1970,32500
387,Алейск,Алтайский край,1979,31300
388,Алейск,Алтайский край,1989,30300
389,Алейск,Алтайский край,1996,31100
390,Алейск,Алтайский край,1998,30600
391,Алейск,Алтайский край,2000,30200
392,Алейск,Алтайский край,2001,30200
393,Алейск,Алтайский край,2003,28600
394,Алейск,Алтайский край,2005,28700
395,Алейск,Алтайский край,2007,28500
396,Алейск,Алтайский край,2008,28500
397,Алейск,Алтайский край,2010,28500
398,Алейск,Алтайский край,2011,29500
399,Алейск,Алтайский край,2012,29100
400,Алейск,Алтайский край,2013,28800
401,Алейск,Алтайский край,2015,28400
402,Алейск,Алтайский край,2016,28500
403,Алейск,Алтайский край,2017,28700
404,Алейск,Алтайский край,2018,29000
405,Алейск,Алтайский край,2019,29200
406,Алейск,Алтайский край,2020,29000
407,Александров,Владимирская область,1856,3400
408,Александров,Владимирская область,1897,6800
409,Александров,Владимирская область,1913,8300
410,Александров,Владимирская область,1923,10500
411,Александров,Владимирская область,1926,12500
412,Александров,Владимирская область,1931,15200
413,Александров,Владимирская область,1939,27700
414,Александров,Владимирская область,1959,36700
415,Александров,Владимирская область,1967,46000
416,Александров,Владимирская область,1973,54000
417,Александров,Владимирская область,1976,58000
418,Александров,Владимирская область,1979,60400
419,Александров,Владимирская область,1982,63000
420,Александров,Владимирская область,1986,66000
421,Александров,Владимирская область,1989,68200
422,Александров,Владимирская область,1992,68300
423,Александров,Владимирская область,1996,68600
424,Александров,Владимирская область,1998,68400
425,Александров,Владимирская область,2001,67200
426,Александров,Владимирская область,2003,64800
427,Александров,Владимирская область,2005,64000
428,Александров,Владимирская область,2006,63800
429,Александров,Владимирская область,2007,63400
430,Александров,Владимирская область,2008,63000
431,Александров,Владимирская область,2010,62300
432,Александров,Владимирская область,2011,61600
433,Александров,Владимирская область,2012,61300
434,Александров,Владимирская область,2014,60600
435,Александров,Владимирская область,2015,60200
436,Александров,Владимирская область,2016,59800
437,Александров,Владимирская область,2017,59300
438,Александров,Владимирская область,2018,59000
439,Александров,Владимирская область,2019,58700
440,Александров,Владимирская область,2020,57900
441,Александров,Владимирская область,2021,57100
442,Александровск,Пермский край,1931,8600
443,Александровск,Пермский край,1939,7600
444,Александровск,Пермский край,1959,19100
445,Александровск,Пермский край,1967,19000
446,Александровск,Пермский край,1970,18300
447,Александровск,Пермский край,1979,20000
448,Александровск,Пермский край,1989,20100
449,Александровск,Пермский край,1996,19500
450,Александровск,Пермский край,1998,19100
451,Александровск,Пермский край,2000,18800
452,Александровск,Пермский край,2001,18700
453,Александровск,Пермский край,2003,16200
454,Александровск,Пермский край,2005,15800
455,Александровск,Пермский край,2006,15700
456,Александровск,Пермский край,2008,15300
457,Александровск,Пермский край,2010,15000
458,Александровск,Пермский край,2011,14500
459,Александровск,Пермский край,2012,14100
460,Александровск,Пермский край,2013,13900
461,Александровск,Пермский край,2014,13600
462,Александровск,Пермский край,2015,13400
463,Александровск,Пермский край,2017,12800
464,Александровск,Пермский край,2018,12600
465,Александровск,Пермский край,2019,12200
466,Александровск,Пермский край,2020,11900
467,Александровск,Пермский край,2021,11700
468,Александровск-Сахалинский,Сахалинская область,1897,3900
469,Александровск-Сахалинский,Сахалинская область,1931,8100
470,Александровск-Сахалинский,Сахалинская область,1939,24900
471,Александровск-Сахалинский,Сахалинская область,1959,22200
472,Александровск-Сахалинский,Сахалинская область,1967,21000
473,Александровск-Сахалинский,Сахалинская область,1970,20300
474,Александровск-Сахалинский,Сахалинская область,1979,19200
475,Александровск-Сахалинский,Сахалинская область,1992,19400
476,Александровск-Сахалинский,Сахалинская область,1996,18000
477,Александровск-Сахалинский,Сахалинская область,1998,16800
478,Александровск-Сахалинский,Сахалинская область,2000,15800
479,Александровск-Сахалинский,Сахалинская область,2001,15500
480,Александровск-Сахалинский,Сахалинская область,2003,12800
481,Александровск-Сахалинский,Сахалинская область,2005,12200
482,Александровск-Сахалинский,Сахалинская область,2007,11600
483,Александровск-Сахалинский,Сахалинская область,2008,11400
484,Александровск-Сахалинский,Сахалинская область,2010,11000
485,Александровск-Сахалинский,Сахалинская область,2011,10600
486,Александровск-Сахалинский,Сахалинская область,2012,10300
487,Александровск-Сахалинский,Сахалинская область,2013,10000
488,Александровск-Сахалинский,Сахалинская область,2014,9700
489,Александровск-Сахалинский,Сахалинская область,2016,9700
490,Александровск-Сахалинский,Сахалинская область,2017,9600
491,Александровск-Сахалинский,Сахалинская область,2018,9500
492,Александровск-Сахалинский,Сахалинская область,2019,9300
493,Александровск-Сахалинский,Сахалинская область,2020,9100
494,Александровск-Сахалинский,Сахалинская область,2021,9100
495,Алексеевка,Белгородская область,1897,13600
496,Алексеевка,Белгородская область,1939,9900
497,Алексеевка,Белгородская область,1959,20100
498,Алексеевка,Белгородская область,1967,23000
499,Алексеевка,Белгородская область,1970,25600
500,Алексеевка,Белгородская область,1979,31600
501,Алексеевка,Белгородская область,1989,36600
502,Алексеевка,Белгородская область,1996,38100
503,Алексеевка,Белгородская область,1998,38200
504,Алексеевка,Белгородская область,2000,38100
505,Алексеевка,Белгородская область,2001,38000
506,Алексеевка,Белгородская область,2003,39300
507,Алексеевка,Белгородская область,2005,39300
508,Алексеевка,Белгородская область,2006,39300
509,Алексеевка,Белгородская область,2008,39400
510,Алексеевка,Белгородская область,2010,39300
511,Алексеевка,Белгородская область,2011,39000
512,Алексеевка,Белгородская область,2012,38900
513,Алексеевка,Белгородская область,2013,39000
514,Алексеевка,Белгородская область,2014,38900
515,Алексеевка,Белгородская область,2015,38600
516,Алексеевка,Белгородская область,2017,38400
517,Алексеевка,Белгородская область,2018,38300
518,Алексеевка,Белгородская область,2019,38200
519,Алексеевка,Белгородская область,2020,37800
520,Алексеевка,Белгородская область,2021,37600
521,Алексин,Тульская область,1856,2500
522,Алексин,Тульская область,1897,3500
523,Алексин,Тульская область,1913,6100
524,Алексин,Тульская область,1931,3400
525,Алексин,Тульская область,1939,6500
526,Алексин,Тульская область,1959,46300
527,Алексин,Тульская область,1962,50000
528,Алексин,Тульская область,1967,54000
529,Алексин,Тульская область,1970,61400
530,Алексин,Тульская область,1976,66000
531,Алексин,Тульская область,1979,67200
532,Алексин,Тульская область,1982,69000
533,Алексин,Тульская область,1986,71000
534,Алексин,Тульская область,1989,74300
535,Алексин,Тульская область,1992,73700
536,Алексин,Тульская область,1996,71800
537,Алексин,Тульская область,1998,71000
538,Алексин,Тульская область,2000,69800
539,Алексин,Тульская область,2003,68200
540,Алексин,Тульская область,2005,67000
541,Алексин,Тульская область,2006,66300
542,Алексин,Тульская область,2007,65700
543,Алексин,Тульская область,2008,65400
544,Алексин,Тульская область,2010,63900
545,Алексин,Тульская область,2011,61700
546,Алексин,Тульская область,2012,60700
547,Алексин,Тульская область,2013,59700
548,Алексин,Тульская область,2015,58700
549,Алексин,Тульская область,2016,58800
550,Алексин,Тульская область,2017,58300
551,Алексин,Тульская область,2018,57900
552,Алексин,Тульская область,2019,58000
553,Алексин,Тульская область,2020,57500
554,Алексин,Тульская область,2021,57100
555,Алзамай,Иркутская область,1959,13100
556,Алзамай,Иркутская область,1970,10600
557,Алзамай,Иркутская область,1979,9300
558,Алзамай,Иркутская область,1989,9000
559,Алзамай,Иркутская область,1992,9100
560,Алзамай,Иркутская область,1996,9000
561,Алзамай,Иркутская область,2000,8700
562,Алзамай,Иркутская область,2001,8700
563,Алзамай,Иркутская область,2003,7400
564,Алзамай,Иркутская область,2005,7300
565,Алзамай,Иркутская область,2006,7200
566,Алзамай,Иркутская область,2007,7200
567,Алзамай,Иркутская область,2010,7100
568,Алзамай,Иркутская область,2011,6700
569,Алзамай,Иркутская область,2012,6600
570,Алзамай,Иркутская область,2013,6500
571,Алзамай,Иркутская область,2014,6300
572,Алзамай,Иркутская область,2015,6200
573,Алзамай,Иркутская область,2017,6000
574,Алзамай,Иркутская область,2018,5900
575,Алзамай,Иркутская область,2019,5800
576,Алзамай,Иркутская область,2020,5700
577,Алзамай,Иркутская область,2021,5700
578,Алупка,Республика Крым,2015,7800
579,Алупка,Республика Крым,2017,8000
580,Алупка,Республика Крым,2019,8100
581,Алупка,Республика Крым,2021,8100
582,Алушта,Республика Крым,2015,29200
583,Алушта,Республика Крым,2017,29700
584,Алушта,Республика Крым,2019,30000
585,Алушта,Республика Крым,2021,30200
586,Альметьевск,Республика Татарстан,1939,3100
587,Альметьевск,Республика Татарстан,1959,50900
588,Альметьевск,Республика Татарстан,1962,59000
589,Альметьевск,Республика Татарстан,1967,74000
590,Альметьевск,Республика Татарстан,1970,87100
591,Альметьевск,Республика Татарстан,1973,94000
592,Альметьевск,Республика Татарстан,1976,103000
593,Альметьевск,Республика Татарстан,1979,109600
594,Альметьевск,Республика Татарстан,1986,125000
595,Альметьевск,Республика Татарстан,1989,129000
596,Альметьевск,Республика Татарстан,1992,133000
597,Альметьевск,Республика Татарстан,1996,139100
598,Альметьевск,Республика Татарстан,1998,140900
599,Альметьевск,Республика Татарстан,2000,140700
600,Альметьевск,Республика Татарстан,2001,140700
601,Альметьевск,Республика Татарстан,2003,140400
602,Альметьевск,Республика Татарстан,2006,141700
603,Альметьевск,Республика Татарстан,2007,141900
604,Альметьевск,Республика Татарстан,2008,142000
605,Альметьевск,Республика Татарстан,2010,142100
606,Альметьевск,Республика Татарстан,2011,146400
607,Альметьевск,Республика Татарстан,2012,147700
608,Альметьевск,Республика Татарстан,2013,149000
609,Альметьевск,Республика Татарстан,2014,149900
610,Альметьевск,Республика Татарстан,2016,152600
611,Альметьевск,Республика Татарстан,2017,154300
612,Альметьевск,Республика Татарстан,2018,156000
613,Альметьевск,Республика Татарстан,2019,157300
614,Альметьевск,Республика Татарстан,2020,158400
615,Альметьевск,Республика Татарстан,2021,158000
616,Амурск,Хабаровский край,1959,3500
617,Амурск,Хабаровский край,1970,24000
618,Амурск,Хабаровский край,1979,40800
619,Амурск,Хабаровский край,1986,52000
620,Амурск,Хабаровский край,1989,58400
621,Амурск,Хабаровский край,1992,59600
622,Амурск,Хабаровский край,1998,54600
623,Амурск,Хабаровский край,2000,52300
624,Амурск,Хабаровский край,2001,51900
625,Амурск,Хабаровский край,2003,47800
626,Амурск,Хабаровский край,2005,47000
627,Амурск,Хабаровский край,2006,46700
628,Амурск,Хабаровский край,2008,46100
629,Амурск,Хабаровский край,2010,45300
630,Амурск,Хабаровский край,2011,43000
