,Регион,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
62,Тюменская область,592.0,573.4,575.5,559.4,536.9,495.6,495.0,463.9,510.6,533.4
63,Челябинская область,640.1,623.4,633.3,641.5,607.7,543.6,541.6,539.6,580.7,610.9
64,Республика Алтай,714.8,682.6,676.9,635.2,529.5,511.7,513.9,533.6,581.6,592.7
65,Республика Тыва,947.5,944.7,943.5,880.5,830.8,729.1,682.6,652.1,678.3,659.0
66,Республика Хакасия,662.7,645.2,657.3,667.0,642.1,582.5,561.4,574.6,588.9,624.0
67,Алтайский край,637.2,623.1,611.8,597.5,583.8,562.2,577.5,556.8,582.2,637.6
68,Красноярский край,642.4,634.9,631.4,621.6,611.6,573.5,583.4,550.8,596.6,641.9
69,Иркутская область,809.9,784.3,798.7,780.2,730.7,660.6,655.2,650.9,697.6,735.9
70,Кемеровская область,803.1,762.9,771.7,753.8,724.3,682.2,703.8,682.9,718.4,731.8
71,Новосибирская область,590.0,590.6,596.1,574.3,548.8,537.4,521.6,501.3,563.0,604.6
72,Омская область,600.6,610.6,603.7,590.0,566.8,532.2,517.3,498.9,550.6,597.0
73,Томская область,558.4,560.0,562.0,539.4,513.2,494.1,451.9,467.8,503.1,527.3
74,Республика Бурятия,738.7,684.8,668.4,639.8,611.9,546.2,547.1,560.0,547.9,578.4
75,Забайкальский край,751.7,706.6,713.8,698.4,649.4,563.3,604.3,628.4,636.4,652.9
76,Республика Саха (Якутия),649.4,590.6,571.2,552.8,532.2,516.7,468.8,465.2,518.4,514.5
77,Камчатский край,669.4,698.3,663.2,649.0,672.3,577.3,609.6,572.3,617.4,697.7
78,Приморский край,677.2,668.9,655.3,633.3,615.9,584.3,595.9,589.2,618.6,645.7
79,Хабаровский край,718.9,669.9,689.4,648.8,645.4,603.3,600.2,607.1,647.6,671.6
80,Амурская область,828.6,794.6,752.3,753.5,715.7,630.9,654.6,681.7,736.9,758.0
81,Магаданская область,831.0,761.5,802.3,730.0,699.1,678.2,667.8,698.6,696.4,797.5
82,Сахалинская область,825.9,737.0,743.6,740.5,720.5,601.7,631.8,610.1,618.9,668.2
83,Еврейская автономная область,891.3,865.1,845.5,885.2,798.1,595.5,641.4,688.7,682.3,703.3
84,Чукотский автономный округ,1053.2,987.6,953.4,865.8,827.0,822.7,954.6,801.3,836.8,890.0
