,Регион,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Город Москва,3.9,2.1,1.4,1.3,1.6,0.8,1.6,0.8,0.9,2.8,1.8,1.4,0.8,1.7,1.5,1.8,1.8,1.4,1.2,1.4,2.6,2.6
18,Республика Карелия,11.3,8.6,7.8,8.2,7.3,8.8,3.3,5.9,8.2,9.6,9.3,8.4,7.0,8.2,8.1,8.8,9.2,8.6,8.7,7.4,8.7,6.6
19,Республика Коми,12.0,13.8,9.2,12.2,12.4,11.1,12.1,10.2,7.1,11.4,10.1,8.2,6.4,7.1,6.0,7.0,8.7,7.8,7.3,6.8,7.8,7.0
20,Ненецкий автономный округ,11.0,7.0,7.3,8.7,7.3,10.6,5.5,6.5,7.9,9.5,6.5,8.7,6.9,7.1,5.3,7.9,8.5,8.0,8.1,7.9,8.8,7.0
21,Архангельская область,12.4,8.6,8.1,10.0,7.1,5.5,5.8,5.4,6.8,7.2,6.9,5.9,5.4,6.0,7.3,6.8,7.1,6.4,6.3,6.2,7.4,6.6
22,Вологодская область,8.3,8.9,6.0,4.9,6.4,5.2,5.4,4.0,5.6,7.8,7.8,7.3,5.8,6.1,5.6,6.8,6.6,5.3,5.1,4.5,6.1,4.7
23,Калининградская область,15.6,8.8,7.2,7.5,6.6,6.5,4.4,3.4,8.6,10.9,10.3,9.1,7.4,5.6,5.4,5.7,6.0,5.2,4.7,4.4,5.9,5.0
24,Ленинградская область,9.6,7.0,7.0,8.6,6.9,7.2,5.8,3.9,6.0,6.9,5.2,4.3,3.2,4.3,4.5,5.1,4.6,4.6,4.1,3.9,5.3,3.7
25,Мурманская область,13.4,13.1,10.3,10.1,10.9,8.7,6.7,6.3,6.6,7.5,8.6,8.6,7.7,7.2,6.7,7.8,7.7,7.0,6.8,5.5,7.7,5.8
26,Новгородская область,7.6,6.4,6.3,4.9,6.1,5.8,5.5,5.3,4.9,6.1,5.6,4.9,4.1,4.6,3.7,4.6,4.9,4.7,4.2,3.6,5.8,4.1
27,Псковская область,11.7,10.2,8.1,8.2,5.4,6.3,7.2,4.8,6.5,11.0,9.5,9.3,6.6,7.0,6.5,6.9,6.7,6.5,5.7,5.1,6.4,4.7
28,Город Санкт-Петербург,6.2,4.0,3.4,4.2,2.7,2.2,2.4,2.1,2.0,4.1,2.6,2.0,1.1,1.5,1.4,2.1,1.6,1.7,1.5,1.4,2.9,2.0
29,Республика Адыгея,14.3,14.1,13.5,15.5,17.3,13.0,13.9,10.3,7.3,7.7,9.3,8.4,8.1,7.9,8.6,8.8,9.0,8.8,8.6,8.2,8.5,8.3
30,Республика Калмыкия,20.7,18.8,18.0,17.2,22.4,18.0,16.9,14.5,15.8,16.5,14.8,14.2,13.1,12.5,10.9,10.7,10.6,10.0,9.7,9.2,9.6,9.0
31,Республика Крым,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,6.8,6.4,6.0,5.6,6.3,5.8
32,Краснодарский край,12.8,10.9,7.6,10.2,8.7,7.4,7.1,6.6,4.7,7.2,6.7,5.9,5.6,6.1,5.7,6.0,5.8,5.7,5.2,4.8,5.7,5.0
33,Астраханская область,11.5,10.4,10.9,10.0,11.6,12.2,7.9,8.7,7.4,9.9,8.2,8.8,7.9,7.5,7.5,7.5,7.6,7.5,7.5,7.6,7.8,7.7
34,Волгоградская область,9.5,9.5,8.4,11.1,9.3,6.7,8.6,6.3,8.2,10.3,8.0,6.9,6.0,6.6,6.6,7.2,6.8,6.0,5.6,5.3,7.6,4.9
35,Ростовская область,15.0,13.1,11.4,12.6,8.7,8.5,8.1,6.7,6.4,8.4,7.7,7.3,6.0,6.0,5.9,6.1,5.8,5.6,5.1,4.8,5.0,4.0
36,Город Севастополь,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,6.2,4.6,4.3,3.9,4.6,4.2
37,Республика Дагестан,26.5,29.3,24.1,20.9,27.2,22.1,22.1,20.2,13.2,13.2,14.8,12.7,11.7,11.6,10.2,10.8,10.9,12.0,11.6,13.0,15.7,15.1
38,Республика Ингушетия,30.3,33.4,43.7,55.8,43.5,63.1,57.8,46.6,53.3,53.2,49.7,48.1,47.7,43.7,29.8,30.5,30.2,27.0,26.6,26.8,30.0,31.1
39,Кабардино-Балкарская Республика,16.9,17.0,19.1,22.8,24.9,23.9,20.8,18.0,17.8,14.6,12.7,10.5,8.9,10.5,9.5,10.1,10.3,10.5,10.5,10.8,14.8,11.7
40,Карачаево-Черкесская Республика,21.5,18.9,12.1,18.3,17.2,13.8,19.2,18.1,15.9,12.0,10.3,9.8,8.9,9.8,13.0,15.1,14.4,13.5,12.1,11.7,14.8,12.4
41,Республика Северная Осетия-Алания,28.5,16.7,12.6,10.0,11.2,8.8,8.3,9.8,9.8,10.4,9.7,8.3,7.9,8.1,8.6,9.3,9.9,11.8,10.5,12.2,15.5,13.5
42,Чеченская Республика,0.0,0.0,0.0,0.0,0.0,0.0,67.7,52.5,36.0,35.0,43.3,37.3,29.8,26.9,21.5,17.1,15.8,14.0,13.7,13.4,18.5,14.5
43,Ставропольский край,13.9,9.7,9.7,10.5,9.4,6.9,8.8,6.5,7.9,8.7,6.9,6.0,5.4,5.6,5.3,5.6,5.7,5.2,5.0,4.9,6.2,5.2
44,Республика Башкортостан,11.6,10.7,8.3,8.2,7.2,7.0,6.5,6.5,5.2,9.2,8.9,7.6,6.1,5.8,5.3,6.1,5.8,5.6,4.9,4.4,5.9,4.4
45,Республика Марий Эл,11.9,9.3,13.6,11.5,9.4,10.0,10.0,9.0,9.1,11.5,10.5,10.1,6.5,5.2,4.8,5.3,6.0,6.1,5.0,4.6,6.7,5.3
46,Республика Мордовия,10.6,10.1,9.4,7.8,5.9,6.6,4.6,3.5,2.7,5.2,5.4,5.2,4.9,4.4,4.2,4.2,4.2,4.2,4.2,4.2,5.4,4.2
47,Республика Татарстан,8.4,6.3,5.3,6.6,7.4,6.7,5.6,5.6,4.9,8.4,6.2,4.7,4.1,4.0,3.9,4.0,3.8,3.5,3.3,3.3,3.6,2.6
48,Удмуртская Республика,9.7,7.4,7.9,6.6,8.0,7.8,8.4,8.1,7.8,8.8,9.3,6.9,6.0,5.7,5.1,5.0,5.2,4.8,4.8,4.3,6.3,4.5
49,Чувашская Республика - Чувашия,9.1,9.5,9.4,8.2,9.8,11.7,8.6,9.0,8.0,11.6,9.5,7.8,5.9,5.7,5.0,5.0,5.3,5.1,5.0,4.7,6.1,4.8
50,Пермский край,10.6,6.9,9.1,7.4,7.3,8.1,7.0,6.5,8.3,9.9,8.3,7.5,6.3,6.5,5.8,6.3,5.8,6.1,5.4,5.1,5.7,4.6
51,Кировская область,8.2,7.7,6.8,7.3,8.6,7.2,7.9,5.8,7.2,10.9,8.6,8.3,7.1,5.6,5.1,5.3,5.4,5.3,5.1,4.8,5.4,4.9
52,Нижегородская область,7.8,8.2,7.8,6.2,7.4,6.0,5.4,4.5,5.7,7.5,7.7,7.2,5.4,4.3,4.2,4.3,4.3,4.2,4.2,4.1,4.6,4.2
53,Оренбургская область,12.0,8.3,10.3,11.3,11.0,9.2,6.4,7.1,6.9,8.8,7.2,6.3,5.4,4.9,4.4,4.8,4.9,4.6,4.4,4.4,5.9,4.7
54,Пензенская область,11.4,13.7,7.3,9.2,6.7,6.6,6.4,5.2,7.6,8.1,6.4,5.4,4.9,4.8,4.6,4.7,4.6,4.5,4.4,4.3,5.1,4.2
55,Самарская область,10.2,6.1,5.4,4.4,5.3,5.4,4.2,4.1,4.2,6.1,5.8,5.1,3.4,3.2,3.0,3.4,4.1,4.2,3.7,3.9,4.5,3.5
56,Саратовская область,9.8,9.7,7.6,10.6,10.0,9.2,8.2,8.0,7.8,8.8,6.3,6.0,5.4,5.2,4.6,4.7,5.1,4.8,5.0,4.3,5.6,4.5
57,Ульяновская область,6.6,8.6,6.1,7.3,9.5,7.7,6.8,4.6,7.0,8.9,8.8,6.8,5.6,5.5,4.8,4.9,4.6,4.4,3.7,3.8,4.9,4.3
58,Курганская область,12.9,13.1,10.7,9.4,12.4,11.4,12.2,8.5,9.3,13.2,12.1,10.0,8.7,7.5,7.0,7.5,8.4,9.1,8.0,7.8,8.3,7.7
59,Свердловская область,10.0,7.8,8.5,7.6,7.3,6.8,7.0,5.2,4.8,8.2,8.4,7.2,5.8,5.9,6.1,6.5,6.2,5.5,4.8,4.2,5.8,4.1
60,Ханты-Мансийский автономный округ,11.4,11.3,10.1,9.3,9.6,7.9,6.3,7.6,7.8,6.9,7.5,6.3,5.5,4.9,4.6,4.4,4.5,3.3,2.5,2.5,3.0,2.6
61,Ямало-Ненецкий автономный округ,8.6,7.1,6.8,5.6,6.3,7.2,5.5,2.8,5.9,4.5,4.3,3.5,3.4,3.2,3.1,3.6,2.6,3.2,2.1,1.9,2.4,2.1
62,Тюменская область,11.1,11.0,7.8,7.8,8.6,8.3,8.6,7.8,8.1,8.2,8.3,6.7,5.8,5.2,5.5,6.2,5.6,5.0,4.5,4.1,4.8,4.4
63,Челябинская область,8.6,8.8,6.5,5.9,5.1,5.3,5.1,2.5,4.3,8.0,7.5,6.6,6.4,6.0,6.2,7.0,7.1,6.6,5.6,5.1,6.8,4.9
64,Республика Алтай,17.3,9.6,11.3,10.2,9.6,9.4,11.4,8.9,12.6,13.6,12.2,12.8,11.6,11.5,10.4,9.7,12.0,12.0,11.2,11.0,14.0,12.0
65,Республика Тыва,23.6,23.8,20.3,20.9,19.4,21.9,20.3,16.9,18.6,21.4,21.7,17.3,18.4,19.3,19.1,18.6,16.6,18.3,14.8,12.4,18.0,15.1
66,Республика Хакасия,12.2,8.9,8.0,10.7,10.2,8.9,9.1,6.6,7.2,8.6,9.1,7.2,7.9,6.0,6.2,5.8,6.3,4.9,5.2,6.0,8.7,6.4
67,Алтайский край,11.7,10.0,8.3,12.3,9.1,8.8,8.9,6.4,8.3,12.3,8.8,8.5,6.2,8.3,7.2,8.0,8.6,6.9,6.1,5.8,5.9,5.5
68,Красноярский край,12.2,9.7,7.8,9.2,8.0,9.5,8.7,7.6,6.4,9.4,6.2,6.0,5.5,5.7,5.0,6.2,6.1,5.7,4.9,4.5,6.0,3.6
69,Иркутская область,11.6,11.2,11.1,11.2,10.3,9.8,8.5,8.0,8.5,10.8,10.1,9.1,7.8,8.3,8.8,8.2,8.8,8.7,7.6,6.6,7.7,6.0
70,Кемеровская область,10.6,9.9,9.3,9.9,9.9,8.6,7.4,6.2,6.6,9.7,8.9,8.1,7.1,6.0,6.2,7.7,7.9,7.1,6.1,5.5,6.7,5.4
71,Новосибирская область,13.3,12.4,11.4,11.1,9.1,7.9,7.4,7.0,7.3,10.0,7.7,6.8,5.6,5.9,5.1,6.9,7.4,6.0,6.7,6.1,6.7,6.1
72,Омская область,14.0,10.0,9.5,9.7,9.0,8.7,9.1,8.0,7.8,8.5,8.1,7.9,6.9,6.8,6.7,6.8,7.2,7.0,6.8,6.5,8.9,6.5
73,Томская область,13.0,9.9,11.2,13.7,10.1,10.5,8.9,6.8,8.1,8.7,7.7,9.1,8.4,7.6,7.6,7.7,7.2,6.3,6.3,5.5,8.7,6.8
74,Республика Бурятия,19.1,18.4,15.4,17.8,15.3,12.2,14.2,13.1,12.0,13.7,10.4,9.0,7.9,8.0,8.4,9.2,9.6,9.6,9.3,9.2,10.5,9.5
75,Забайкальский край,14.4,16.2,11.1,14.2,12.6,8.6,6.2,8.7,14.9,12.0,11.1,10.6,10.6,10.5,10.0,10.4,10.8,10.7,10.2,9.3,9.8,9.3
76,Республика Саха (Якутия),11.2,8.2,7.1,9.4,9.0,9.2,9.5,7.7,9.0,8.7,8.9,9.0,8.0,7.4,7.4,7.3,7.2,7.1,6.9,6.9,7.4,6.9
77,Камчатский край,16.3,14.5,11.6,12.4,10.3,8.4,8.1,9.0,8.6,7.5,7.0,6.1,5.8,5.7,6.1,4.5,4.1,4.3,4.9,3.8,3.8,3.5
78,Приморский край,12.3,8.7,9.1,8.3,9.7,8.0,7.9,6.9,7.4,9.5,9.5,8.0,6.9,7.1,6.9,6.9,6.0,5.4,5.4,5.2,5.5,4.2
79,Хабаровский край,12.2,10.5,7.0,6.2,6.6,5.8,5.8,5.6,8.6,10.2,8.9,6.6,6.4,5.7,5.9,5.3,5.0,4.9,3.8,3.8,4.0,3.1
80,Амурская область,13.7,12.3,10.7,9.8,11.7,9.9,8.2,6.1,5.4,8.3,6.9,6.0,5.3,6.1,5.6,5.8,5.9,5.9,5.6,5.4,6.0,5.2
81,Магаданская область,11.0,11.4,8.2,10.0,8.0,6.9,5.3,5.6,7.2,6.5,5.6,4.5,3.4,2.9,3.1,4.3,4.4,5.3,5.1,4.6,5.7,4.9
82,Сахалинская область,13.2,12.1,9.4,9.4,7.4,7.7,4.8,4.6,7.4,9.8,8.9,7.9,7.7,7.2,6.5,6.3,6.3,6.0,5.3,5.2,5.5,5.3
83,Еврейская автономная область,15.0,9.4,9.1,6.9,8.0,7.9,9.8,9.3,9.6,8.5,9.3,8.5,8.5,8.3,8.7,7.9,8.2,8.3,7.0,6.2,6.3,5.7
84,Чукотский автономный округ,10.3,7.4,4.5,4.9,3.5,4.2,3.7,3.5,5.2,4.6,4.5,5.6,4.3,3.3,3.2,4.0,3.5,2.9,3.1,3.8,4.4,2.6
